****** TEST SETS *******

************* start test1
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
3002 | 0 | Inst #1 : MOVE AC, SP
3006 | 1 | Inst #2 : MOVE X, SP
300A | 2 | Inst #3 : MOVE SP, SP
300E | 3 | Inst #4 : MOVE PC, SP
3102 | 4 | Inst #5 : MOVE (AC), SP
3106 | 5 | Inst #6 : MOVE (X), SP
310E | 6 | Inst #7 : MOVE (PC), SP
3202 | 7 | Inst #8 : MOVE (AC)+, SP
3206 | 8 | Inst #9 : MOVE (X)+, SP
3302 | 9 | Inst #10 : MOVE -(AC), SP
3306 | A | Inst #11 : MOVE -(X), SP
3402 | B | Inst #12 : MOVE 000E(AC), SP
000E | C | 
3406 | D | Inst #13 : MOVE 000E(X), SP
000E | E | 
340E | F | Inst #14 : MOVE 000E(PC), SP
000E | 10 | 
3502 | 11 | Inst #15 : MOVE 000E, SP
000E | 12 | 
3506 | 13 | Inst #16 : MOVE 000E, SP
000E | 14 | 
350E | 15 | Inst #17 : MOVE 000E, SP
000E | 16 | 
3602 | 17 | Inst #18 : MOVE #000E, SP
000E | 18 | 
3606 | 19 | Inst #19 : MOVE #000E, SP
000E | 1A | 
360A | 1B | Inst #20 : MOVE #000E, SP
000E | 1C | 
360E | 1D | Inst #21 : MOVE #000E, SP
000E | 1E | 
0000 | 1F | HALT
************* end test1

************* start test2
0025 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
3010 | 0 | Inst #1 : MOVE AC, (AC)
3014 | 1 | Inst #2 : MOVE X, (AC)
3018 | 2 | Inst #3 : MOVE SP, (AC)
301C | 3 | Inst #4 : MOVE PC, (AC)
3020 | 4 | Inst #5 : MOVE AC, (AC)+
3024 | 5 | Inst #6 : MOVE X, (AC)+
3028 | 6 | Inst #7 : MOVE SP, (AC)+
302C | 7 | Inst #8 : MOVE PC, (AC)+
3030 | 8 | Inst #9 : MOVE AC, -(AC)
3034 | 9 | Inst #10 : MOVE X, -(AC)
3038 | A | Inst #11 : MOVE SP, -(AC)
303C | B | Inst #12 : MOVE PC, -(AC)
3610 | C | Inst #13 : MOVE #000E, (AC)
000E | D | 
3614 | E | Inst #14 : MOVE #000E, (AC)
000E | F | 
3618 | 10 | Inst #15 : MOVE #000E, (AC)
000E | 11 | 
361C | 12 | Inst #16 : MOVE #000E, (AC)
000E | 13 | 
3620 | 14 | Inst #17 : MOVE #000E, (AC)+
000E | 15 | 
3624 | 16 | Inst #18 : MOVE #000E, (AC)+
000E | 17 | 
3628 | 18 | Inst #19 : MOVE #000E, (AC)+
000E | 19 | 
362C | 1A | Inst #20 : MOVE #000E, (AC)+
000E | 1B | 
3630 | 1C | Inst #21 : MOVE #000E, -(AC)
000E | 1D | 
3634 | 1E | Inst #22 : MOVE #000E, -(AC)
000E | 1F | 
3638 | 20 | Inst #23 : MOVE #000E, -(AC)
000E | 21 | 
363C | 22 | Inst #24 : MOVE #000E, -(AC)
000E | 23 | 
0000 | 24 | HALT
3111 | 25 | 
FFFF | 26 | 
3111 | 27 | 
FFFF | 28 | 
************* end test2

************* start test3
0029 AC = R0
0011 X = R1
0110 SP = R2
0000 PC = R3
0000 CVZN = CC
3040 | 0 | Inst #1 : MOVE AC, 000E(AC)
000F | 1 | 
3044 | 2 | Inst #2 : MOVE X, 000F(AC)
000F | 3 | 
3048 | 4 | Inst #3 : MOVE SP, 000F(AC)
000F | 5 | 
304C | 6 | Inst #4 : MOVE PC, 000F(AC)
000F | 7 | 
3050 | 8 | Inst #5 : MOVE AC, 0035
0035 | 9 | 
3054 | A | Inst #6 : MOVE X, 0035
0035 | B | 
3058 | C | Inst #7 : MOVE SP, 0035
0035 | D | 
305C | E | Inst #8 : MOVE PC, 0035
0035 | F | 
3640 | 10 | Inst #9 : MOVE #EEEE, EEEE(AC)
EEEE | 11 | 
000E | 12 | 
3644 | 13 | Inst #10 : MOVE #EEEE, EEEE(AC)
EEEE | 14 | 
000E | 15 | 
3648 | 16 | Inst #11 : MOVE #EEEE, EEEE(AC)
EEEE | 17 | 
000E | 18 | 
364C | 19 | Inst #12 : MOVE #EEEE, EEEE(AC)
EEEE | 1A | 
000E | 1B | 
3650 | 1C | Inst #13 : MOVE #DDDD, 0036
DDDD | 1D | 
0036 | 1E | 
3654 | 1F | Inst #14 : MOVE #DDDD, 0036
DDDD | 20 | 
0036 | 21 | 
3658 | 22 | Inst #15 : MOVE #DDDD, 0036
DDDD | 23 | 
0036 | 24 | 
365C | 25 | Inst #16 : MOVE #DDDD, 0036
DDDD | 26 | 
0036 | 27 | 
0000 | 28 | HALT
0000 | 29 | 
0001 | 2A | 
0002 | 2B | 
0003 | 2C | 
0004 | 2D | 
0005 | 2E | 
0006 | 2F | 
0007 | 30 | 
0008 | 31 | 
0009 | 32 | 
000A | 33 | 
000B | 34 | 
000C | 35 | 
000D | 36 | 
000E | 37 | 
000F | 38 | 
************* end test3

************* start test4
0000 AC = R0
0025 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
3011 | 0 | Inst #1 : MOVE AC, (X)
3015 | 1 | Inst #2 : MOVE X, (X)
